"id","pregunta","a","b","c","d","correcta"
"66","¿Qué nombre recibe el Título Preliminar de la Constitución de 1978?","De los Derechos y Deberes fundamentales.","De la Reforma Constitucional.","De las Garantías Constitucionales.","Ninguna de las anteriores respuestas es correcta.","D"
"67","Según el artículo 1 de nuestra norma fundamental, 'España se constituye en?","Un Estado democrático y de Derecho.","Un Estado social y democrático de pluralismo político.","Un Estado social y democrático de libertad.","Un Estado social y democrático de Derecho.","D"
"68","¿Cuál de los siguientes valores no se considera un valor superior del ordenamiento jurídico propugnado en la Constitución?","La igualdad.","La fraternidad.","La justicia.","El pluralismo político.","B"
"69","Según la Constitución española la soberanía nacional reside en:","Las Cortes Generales.","El Rey.","El Pueblo español.","Los pueblos y nacionalidades de España.","C"
"70","En virtud de nuestra Carta Magna los poderes del Estado emanan de:","Las Cortes Generales.","El Rey.","El Pueblo español.","Los pueblos y nacionalidades de España.","C"
"71","La Constitución española establece la forma política del Estado español como:","Democracia parlamentaria.","Monarquía parlamentaria.","Monarquía unitaria descentralizada.","Monarquía democrática.","B"
"72","La condición esencial para que exista un estado de Derecho es:","La posibilidad de elecciones libres.","La división de poderes.","La existencia de instituciones democráticas.","La primacía de la Ley.","D"
"73","El derecho a la autonomía de las nacionalidades y regiones viene recogido en la Constitución:","En el artículo 2.","En el artículo 138.","En la Disposición Transitoria $2^{a}$","Las respuestas b y c son correctas.","A"
"74","Según su artículo segundo la Constitución se fundamenta:","En la indisoluble unidad de la Nación española.","En la indisoluble unidad del Pueblo español.","En el estado de Derecho.","En un régimen democrático avanzado de Derecho.","A"
"75","El artículo segundo de la Constitución española reconoce y garantiza:","El derecho a la autonomía de las nacionalidades y regiones de España.","La solidaridad entre las nacionalidades y regiones de España.","El derecho a constituirse en comunidades autónomas las nacionalidades y regiones de España.","Las respuestas a y b son correctas.","D"
"76","Para la Administración Pública, según el artículo 103 de la Constitución, el Derecho es?","Una herramienta.","Un límite.","Un fin.","Un objetivo.","B"
"77","El artículo 2 de la Constitución compatibiliza 'la unidad de España como un derecho destacado a lo largo de su articulado, ¿qué artículo relacionarías con este derecho?","El artículo 25.","El artículo 9.","El artículo 137.","El artículo 159.","C"
"78","Según el artículo tercero de la Constitución española el castellano?","Es la lengua española oficial de España.","Es la lengua española oficial del Estado.","Los españoles tienen el deber de usarlo.","Los españoles tienen el derecho a conocerlo.","B"
"79","Las demás lenguas españolas que no son el castellano Serán:","Oficiales en sus respectivas comunidades autónomas de acuerdo con la Constitución.","Oficiales en sus respectivas comunidades autónomas de acuerdo con la legislación vigente.","Oficiales en sus respectivas comunidades autónomas de acuerdo con sus estatutos.","Oficiales en sus respectivas comunidades autónomas de acuerdo con la normativa de desarrollo.","C"
"80","¿Qué representa la riqueza de las distintas modalidades lingüísticas de España en nuestra Constitución?","Un patrimonio lingüístico que será objeto de especial respeto y protección.","Un patrimonio cultural que será objeto de especial respeto y protección.","Un patrimonio cultural que será objeto de especial respeto.","Un patrimonio cultural que será objeto de especial protección.","B"
"81","En relación con las lenguas de España en el año, 2007 se creó:","El Consejo de las Lenguas Oficiales en la Administración General del Estado.","La Oficina para las Lenguas Oficiales.","La Comisión para las Lenguas Oficiales Estatales.","Las respuestas a y b son correctas.","D"
"82","Las banderas y enseñas propias de las comunidades autónomas están reconocidas:","En la Constitución.","En los estatutos de autonomía.","En las normas de desarrollo.","En las leyes de desarrollo.","B"
"83","La Constitución española indica que las banderas y enseñas propias de las comunidades autónomas se utilizarán:","En sus edificios públicos y en sus actos oficiales.","Junto a la bandera de España y de la Unión Europea en sus edificios públicos y en sus actos oficiales.","Ninguna de las respuestas es correcta.","Junto a la bandera de España en sus edificios públicos y en sus actos oficiales.","D"
"84","¿Qué artículo de la Constitución Española de 1978 recoge las características de la bandera española?","El artículo 5.","El artículo 3.","El artículo 7.","El artículo 4.","D"
"85","Según la Constitución española la capital del Estado es:","La ciudad de Madrid.","La villa de Madrid.","La Comunidad de Madrid.","Ninguna de las respuestas anteriores es correcta.","B"
"86","El artículo 6 de la constitución nos 'indica que expresan el pluralismo político y concurren a la formación y manifestación de la voluntad popular:","Las Cortes Generales.","Las elecciones periódicas.","Los partidos políticos.","Ninguna de las anteriores respuestas es correcta.","C"
"87","El instrumento fundamental para la participación política, según nuestra norma fundamental, son:","Las Cortes Generales.","Las elecciones periódicas.","Los partidos políticos.","Ninguna de las anteriores respuestas es correcta.","C"
"88","Según el artículo 6 de la Constitución la estructura interna de los partidos políticos y su funcionamiento deberán sen","Democráticos.","Transparentes.","Jerárquicos.","Sometidos al imperio de la Ley.","A"
"89","Las principales manifestaciones del valor superior del pluralismo político se encuentran en la Constitución en los artículos:","Seis y siete.","Seis y ocho.","Siete y ocho.","Nueve.","A"
"90","La creación de los partidos políticos según la Constitución española debe ser:","Libre dentro del respeto al marco jurídico.","Libre dentro del respeto a la ley de la Reforma política.","Libre dentro del respeto a la Constitución y a la ley.","Libre dentro del respeto a la Constitución.","C"
"91","Los sindicatos de trabajadores y las asociaciones empresariales contribuyen a la defensa y promoción de:","Los intereses políticos y sociales que les son propios.","Los intereses económicos y sociales que les son propios.","Los intereses generales que les son propios.","Los intereses de justicia económica y social del Pueblo español.","B"
"92","La creación de sindicatos de trabajadores y asociaciones empresariales es:","Necesaria dentro del respeto a la Constitución y a la ley.","Democrático dentro del respeto a la Constitución y a la ley.","Deseable dentro del respeto a la Constitución y a la ley.","Libre dentro del respeto a la Constitución y a la ley.","D"
"93","Según el artículo 7 de la Constitución la estructura interna de los sindicatos de trabajadores y las asociaciones empresariales deberá ser:","Democrática.","Transparente.","Jerárquica.","Sometida al imperio de la Ley.","A"
"94","Las Fuerzas Armadas no tienen como misión:","Garantizar la soberanía e independencia de España.","Defender la integridad territorial de España.","Defender el ordenamiento constitucional.","Garantizar la indivisibilidad, soberanía e independencia de España.","D"
"95","Las bases de la organización militar conforme a los principios de la Constitución serán reguladas mediante:","Ley ordinaria.","Ley orgánica.","Ley de desarrollo.","Ley institucional.","B"
"96","Según la Constitución española las Fuerzas Armadas están constituidas por:","La Junta de Jefes de Estado Mayor.","El Ejército de Tierra, la Armada y el Ejército del Aire.","El Ejército de Tierra, la Armada, el Ejército del Aire y las fuerzas y cuerpos de Seguridad del Estado.","El Ejército español.","B"
"97","Según el artículo 9 de nuestra Carta Magna están sujetos a la Constitución y al resto del ordenamiento jurídico:","El Pueblo español.","Los ciudadanos.","Los ciudadanos y los poderes públicos.","Los poderes públicos.","C"
"98","Según la Constitución española, ¿a quién corresponde promover las condiciones para que la libertad y la igualdad del individuo sea real y efectiva?","Al Pueblo español.","Al Gobierno.","A los ciudadanos y los poderes públicos.","A los poderes públicos.","D"
"99","Según nuestra norma fundamental el principio de legalidad está garantizado por:","El Pueblo español.","La Constitución.","Los tribunales de justicia.","Los poderes públicos.","B"
"100","Según su artículo 9 la Constitución española garantiza:","La jerarquía normativa.","La publicidad de las normas.","La seguridad jurídica.","Todas las respuestas anteriores son correctas.","D"
"101","Nuestra norma fundamental en su Título Preliminar garantiza:","La retroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales.","La retroactividad de las disposiciones sancionadoras favorables o restrictivas de derechos individuales.","La irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos individuales.","La irretroactividad de las disposiciones sancionadoras no favorables o restrictivas de derechos colectivos.","C"
"102","Según su artículo 9 la Carta Magna garantiza:","La responsabilidad y la interdicción de la arbitrariedad del Gobierno.","La responsabilidad y la interdicción de la arbitrariedad de las normas jurídicas.","La responsabilidad y la interdicción de la parcialidad de los poderes públicos.","La responsabilidad y la interdicción de la arbitrariedad de los poderes públicos.","D"
"103","¿Qué artículos de la Constitución comprende su Título Preliminar?","Del 1 al 9.","Del 1 al 12.","Del 1 al 8.","Del 1 al 14.","A"
"104","¿Qué significado o contenido tiene el principio de publicidad normativa?","Que todas las normas deben publicarse en un periódico de difusión nacional.","Que todas las normas deben ser publicadas en un diario oficial.","Que los ciudadanos están obligados a conocer las normas para que les pueda ser exigible su contenido.","Ninguna de las respuestas anteriores es correcta.","B"
"105","El principio de legalidad viene establecido en la Constitución española en el:","Artículo 1.","Artículo 9.","Artículo 103.","Artículo 105.","B"
"106","De acuerdo con el principio de jerarquía establecido en el artículo 9 de la Constitución española:","Un reglamento solo puede desarrollar o modificar elementos no esenciales de una ley.","Una norma autonómica puede modificar una norma estatal.","Una norma de rango superior puede modificar o derogar una de rango inferior.","Todas las respuestas anteriores son correctas.","C"
"107","El imperio de la Ley, como manifestación del Estado de Derecho, está reflejado en la Constitución española en:","Los artículos 9.3 y el artículo 97.","Los artículos 9.3, 97 y 103.1","Los artículos 9.1, 97 y 104.","Los artículos 9.1, 97 y 105.","B"
"108","¿A quién corresponde remover los obstáculos que impidan o dificulten la plenitud del individuo y de los grupos en que se integra?","Al Pueblo español.","Al Gobierno.","A los ciudadanos y los poderes públicos.","A los poderes públicos.","D"
"109","¿A quién corresponde la función integradora de facilitar la participación de todos los ciudadanos en la vida política, económica, cultural y social?","A los poderes públicos.","Al Gobierno de la nación.","A los ciudadanos y los poderes públicos.","A las instituciones del Estado.","A"
